               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.11662,           0.0084596,            0.012505,             0.37895,             0.32455,              0.2325,            0.070052,             0.11299,           0.0061318,            0.025392,           0.0045184,           0.0045184,           0.0045184
                  59,             0.11898,           0.0085436,            0.015022,             0.44217,             0.36547,             0.28113,             0.07983,              0.1154,           0.0060387,            0.031404,           0.0043809,           0.0043809,           0.0043809
                  60,             0.11435,           0.0083493,             0.01037,             0.34775,             0.31489,             0.24199,            0.070316,             0.11321,            0.006759,            0.030761,           0.0042445,           0.0042445,           0.0042445
                  61,             0.11759,           0.0079136,           0.0099763,             0.40196,             0.32882,              0.2624,            0.066851,             0.11488,           0.0063047,            0.022813,           0.0041094,           0.0041094,           0.0041094
                  62,             0.11413,           0.0080497,             0.01113,             0.48954,             0.29373,             0.27876,            0.087866,             0.11363,           0.0063155,            0.023547,           0.0039757,           0.0039757,           0.0039757
                  63,             0.11227,           0.0085262,            0.010875,             0.40672,             0.24423,             0.24028,             0.08878,             0.11719,           0.0063144,            0.046621,           0.0038434,           0.0038434,           0.0038434
                  64,             0.11241,           0.0085952,             0.00908,             0.35853,             0.34462,             0.25796,            0.083101,             0.11282,           0.0064151,            0.036494,           0.0037128,           0.0037128,           0.0037128
                  65,             0.11573,           0.0087221,            0.011514,             0.45385,             0.30107,             0.25429,            0.079436,             0.11323,           0.0064347,            0.026783,            0.003584,            0.003584,            0.003584
                  66,             0.11468,           0.0088451,           0.0096902,             0.51705,             0.33806,             0.31756,             0.10472,             0.11148,           0.0066031,            0.018686,            0.003457,            0.003457,            0.003457
                  67,             0.11067,           0.0087344,            0.011622,             0.66237,             0.26874,             0.28118,            0.074264,             0.11703,           0.0063637,            0.020014,           0.0033321,           0.0033321,           0.0033321
                  68,             0.11075,           0.0089676,           0.0098784,             0.50649,             0.29599,             0.29982,            0.086123,             0.10919,           0.0069499,            0.016621,           0.0032093,           0.0032093,           0.0032093
                  69,             0.10267,           0.0089544,            0.009329,             0.41485,              0.3359,             0.27423,             0.10224,             0.10747,           0.0067767,            0.018042,           0.0030888,           0.0030888,           0.0030888
                  70,             0.10655,           0.0089004,           0.0083288,             0.47462,             0.30818,             0.29208,             0.10334,              0.1065,           0.0067956,            0.019724,           0.0029706,           0.0029706,           0.0029706
                  71,             0.10631,           0.0082384,           0.0091828,             0.54013,             0.34245,             0.32432,             0.12876,             0.10683,           0.0067578,            0.019732,            0.002855,            0.002855,            0.002855
                  72,              0.1062,           0.0087895,           0.0091172,             0.65468,             0.34605,             0.37228,             0.13512,             0.10459,           0.0067745,            0.023527,           0.0027419,           0.0027419,           0.0027419
                  73,             0.10402,           0.0092567,           0.0080979,             0.69194,             0.36405,             0.37151,             0.14799,             0.10464,           0.0069137,            0.033904,           0.0026316,           0.0026316,           0.0026316
                  74,             0.10708,           0.0089163,           0.0080108,             0.66768,              0.3257,             0.34788,             0.14608,             0.10398,           0.0066167,            0.023845,           0.0025241,           0.0025241,           0.0025241
                  75,             0.10167,           0.0093443,           0.0085988,             0.51516,             0.39024,             0.34499,             0.14374,             0.10542,           0.0064516,            0.022701,           0.0024195,           0.0024195,           0.0024195
                  76,             0.10374,           0.0092923,           0.0075822,             0.59817,             0.36329,             0.36278,             0.14542,             0.10429,           0.0065568,            0.021111,            0.002318,            0.002318,            0.002318
                  77,              0.1004,           0.0089397,           0.0078219,             0.59143,             0.36732,             0.38209,             0.14453,             0.10335,           0.0065945,            0.020775,           0.0022196,           0.0022196,           0.0022196
                  78,             0.10037,           0.0090845,            0.011011,             0.56754,             0.42658,             0.40394,              0.1623,             0.10072,           0.0066892,            0.017689,           0.0021245,           0.0021245,           0.0021245
                  79,            0.099031,           0.0096036,           0.0086214,             0.58943,              0.4041,             0.38631,             0.16629,             0.10244,           0.0066298,            0.018791,           0.0020327,           0.0020327,           0.0020327
                  80,             0.10001,           0.0091217,           0.0074946,             0.60963,             0.39801,             0.40551,             0.15481,             0.10086,           0.0068785,            0.017513,           0.0019443,           0.0019443,           0.0019443
                  81,             0.10111,           0.0092687,            0.007455,              0.7187,             0.36837,             0.39684,             0.12647,             0.10323,           0.0069075,            0.015391,           0.0018594,           0.0018594,           0.0018594
                  82,             0.10162,           0.0094344,           0.0075784,              0.6961,             0.35618,             0.38574,             0.13587,             0.10307,           0.0068087,            0.015657,           0.0017781,           0.0017781,           0.0017781
                  83,            0.097886,           0.0090586,           0.0067862,              0.7015,             0.34095,             0.37606,             0.13002,             0.10291,           0.0065237,            0.015236,           0.0017005,           0.0017005,           0.0017005
                  84,             0.10039,           0.0093549,           0.0085026,             0.55243,             0.40208,             0.36469,             0.13892,             0.10022,           0.0067395,            0.022725,           0.0016267,           0.0016267,           0.0016267
                  85,             0.10086,           0.0090744,           0.0069187,             0.63956,             0.33615,              0.3598,             0.13055,             0.10146,            0.006826,            0.020309,           0.0015566,           0.0015566,           0.0015566
                  86,            0.096526,            0.008674,           0.0066779,             0.63525,             0.38485,             0.40303,             0.14726,             0.10029,           0.0067413,            0.017379,           0.0014905,           0.0014905,           0.0014905
                  87,             0.09424,           0.0095831,           0.0072734,             0.59055,             0.41633,             0.40696,             0.14872,            0.099719,             0.00664,            0.015861,           0.0014283,           0.0014283,           0.0014283
                  88,             0.09942,           0.0093018,             0.00674,             0.67132,             0.37088,             0.40741,             0.15761,            0.098274,           0.0066507,            0.016203,           0.0013701,           0.0013701,           0.0013701
                  89,             0.10044,           0.0098846,           0.0078336,             0.68989,              0.3734,             0.41871,             0.16587,            0.096928,           0.0067639,             0.01694,            0.001316,            0.001316,            0.001316
                  90,            0.097839,           0.0094308,           0.0076273,             0.71938,              0.3531,             0.40494,             0.15899,            0.097108,            0.006772,            0.016961,            0.001266,            0.001266,            0.001266
                  91,            0.093455,           0.0096597,           0.0056936,             0.78777,             0.35834,             0.41227,             0.15848,            0.096288,           0.0068569,            0.021144,           0.0012202,           0.0012202,           0.0012202
                  92,            0.093603,                0.01,           0.0077249,             0.61891,             0.38169,             0.40372,              0.1599,            0.096145,           0.0069352,            0.022299,           0.0011787,           0.0011787,           0.0011787
                  93,            0.093091,           0.0092406,           0.0064542,             0.60938,             0.37352,             0.38922,             0.15173,            0.099035,           0.0068885,             0.02141,           0.0011414,           0.0011414,           0.0011414
                  94,            0.094842,           0.0093837,           0.0083145,             0.68603,             0.36215,             0.39581,             0.16218,            0.096383,           0.0068631,             0.01797,           0.0011084,           0.0011084,           0.0011084
                  95,            0.095376,            0.009982,           0.0063601,             0.73688,             0.35177,             0.40957,              0.1605,            0.094487,           0.0068037,            0.017528,           0.0010797,           0.0010797,           0.0010797
                  96,            0.092693,           0.0098128,           0.0080492,             0.59489,             0.40489,             0.42279,             0.16616,             0.09594,           0.0067558,            0.018323,           0.0010554,           0.0010554,           0.0010554
                  97,             0.09455,           0.0098836,            0.006665,             0.62041,             0.40949,             0.43619,             0.15719,            0.097704,           0.0067456,            0.017564,           0.0010355,           0.0010355,           0.0010355
                  98,            0.094473,           0.0094303,            0.006879,             0.65786,             0.37282,             0.41057,             0.14604,            0.098391,           0.0068005,              0.0164,             0.00102,             0.00102,             0.00102
                  99,            0.089416,           0.0099263,           0.0070181,              0.6903,             0.35649,             0.40347,             0.16504,            0.099127,           0.0066378,            0.015668,           0.0010089,           0.0010089,           0.0010089
